district,crop,season,year,avg_percent,payout
Jalgaon,Pomegranate,Rabi,2022,0,0
Jalgaon,Pomegranate,Rabi,2023,0,0
Jalgaon,Mango,Kharif,2020,0,0
Jalgaon,Mango,Kharif,2021,0,0
Jalgaon,Mango,Kharif,2022,0,0
Jalgaon,Mango,Kharif,2023,0,0
Jalgaon,Mango,Rabi,2020,65.45,91630
Jalgaon,Mango,Rabi,2021,49.6,69440
Jalgaon,Mango,Rabi,2022,39.12,54775
Jalgaon,Mango,Rabi,2023,66.17,92645
Jalna,Pomegranate,Kharif,2020,0,0
Jalna,Pomegranate,Kharif,2021,10,13000
Jalna,Pomegranate,Kharif,2022,20,26000
Jalna,Pomegranate,Kharif,2023,59.27,77057.5
Jalna,Pomegranate,Rabi,2020,0,0
Jalna,Pomegranate,Rabi,2021,0,0
Jalna,Pomegranate,Rabi,2022,0,0
Jalna,Pomegranate,Rabi,2023,0,0
Jalna,Mango,Kharif,2020,0,0
Jalna,Mango,Kharif,2021,0,0
Jalna,Mango,Kharif,2022,0,0
Jalna,Mango,Kharif,2023,0,0
Jalna,Mango,Rabi,2020,45.13,63175
Jalna,Mango,Rabi,2021,56.65,79310
Jalna,Mango,Rabi,2022,38.17,53445
Jalna,Mango,Rabi,2023,62.87,88025
Kolhapur,Pomegranate,Kharif,2020,0,0
Kolhapur,Pomegranate,Kharif,2021,19.75,25675
Kolhapur,Pomegranate,Kharif,2022,9,11700
Kolhapur,Pomegranate,Kharif,2023,38.33,49822.5
Kolhapur,Pomegranate,Rabi,2020,0,0
Kolhapur,Pomegranate,Rabi,2021,0,0
Kolhapur,Pomegranate,Rabi,2022,0,0
Kolhapur,Pomegranate,Rabi,2023,0,0
Kolhapur,Mango,Kharif,2020,0,0
Kolhapur,Mango,Kharif,2021,0,0
Kolhapur,Mango,Kharif,2022,0,0
Kolhapur,Mango,Kharif,2023,0,0
Kolhapur,Mango,Rabi,2020,19.8,27720
Kolhapur,Mango,Rabi,2021,10,14000
Kolhapur,Mango,Rabi,2022,39,54600
Kolhapur,Mango,Rabi,2023,29.9,41860
Latur,Pomegranate,Kharif,2020,19.85,25805
Latur,Pomegranate,Kharif,2021,10,13000
Latur,Pomegranate,Kharif,2022,18.43,23952.5
Latur,Pomegranate,Kharif,2023,40,52000
Latur,Pomegranate,Rabi,2020,0,0
Latur,Pomegranate,Rabi,2021,0,0
Latur,Pomegranate,Rabi,2022,0,0
Latur,Pomegranate,Rabi,2023,0,0
Latur,Mango,Kharif,2020,0,0
Latur,Mango,Kharif,2021,0,0
Latur,Mango,Kharif,2022,0,0
Latur,Mango,Kharif,2023,0,0
