district,crop,season,year,avg_percent,payout
Nanded,Pomegranate,Kharif,2021,0.0,0.0
Nanded,Pomegranate,Kharif,2022,0.0,0.0
Nanded,Pomegranate,Kharif,2023,0.0,0.0
Nanded,Pomegranate,Rabi,2020,0.0,0.0
Nanded,Pomegranate,Rabi,2021,0.0,0.0
Nanded,Pomegranate,Rabi,2022,0.0,0.0
Nanded,Pomegranate,Rabi,2023,0.0,0.0
Nanded,Mango,Kharif,2020,0.0,0.0
Nanded,Mango,Kharif,2021,0.0,0.0
Nanded,Mango,Kharif,2022,0.0,0.0
Nanded,Mango,Kharif,2023,0.0,0.0
Nanded,Mango,Rabi,2020,0.0,0.0
Nanded,Mango,Rabi,2021,0.0,0.0
Nanded,Mango,Rabi,2022,0.0,0.0
Nanded,Mango,Rabi,2023,0.0,0.0
Nandurbar,Pomegranate,Kharif,2020,0.0,0.0
Nandurbar,Pomegranate,Kharif,2021,0.0,0.0
Nandurbar,Pomegranate,Kharif,2022,0.0,0.0
Nandurbar,Pomegranate,Kharif,2023,0.0,0.0
Nandurbar,Pomegranate,Rabi,2020,0.0,0.0
Nandurbar,Pomegranate,Rabi,2021,0.0,0.0
Nandurbar,Pomegranate,Rabi,2022,0.0,0.0
Nandurbar,Pomegranate,Rabi,2023,0.0,0.0
Nandurbar,Mango,Kharif,2020,0.0,0.0
Nandurbar,Mango,Kharif,2021,0.0,0.0
Nandurbar,Mango,Kharif,2022,0.0,0.0
Nandurbar,Mango,Kharif,2023,0.0,0.0
Nandurbar,Mango,Rabi,2020,0.0,0.0
Nandurbar,Mango,Rabi,2021,0.0,0.0
Nandurbar,Mango,Rabi,2022,0.0,0.0
Nashik,Pomegranate,Kharif,2020,0.0,0.0
Nashik,Pomegranate,Rabi,2020,0.0,0.0
Nashik,Pomegranate,Rabi,2021,0.0,0.0
Nashik,Pomegranate,Rabi,2022,0.0,0.0
Nashik,Pomegranate,Rabi,2023,0.0,0.0
Nashik,Mango,Kharif,2020,0.0,0.0
Nashik,Mango,Kharif,2021,0.0,0.0
Nashik,Mango,Kharif,2022,0.0,0.0
Nashik,Mango,Kharif,2023,0.0,0.0
Osmanabad,Pomegranate,Kharif,2020,0.0,0.0
Osmanabad,Pomegranate,Rabi,2020,0.0,0.0
Osmanabad,Pomegranate,Rabi,2021,0.0,0.0
Osmanabad,Pomegranate,Rabi,2022,0.0,0.0
Osmanabad,Pomegranate,Rabi,2023,0.0,0.0
Osmanabad,Mango,Kharif,2020,0.0,0.0
Osmanabad,Mango,Kharif,2021,0.0,0.0
Osmanabad,Mango,Kharif,2022,0.0,0.0
Osmanabad,Mango,Kharif,2023,0.0,0.0
Palghar,Pomegranate,Kharif,2020,0.0,0.0
Palghar,Pomegranate,Kharif,2022,0.0,0.0
Palghar,Pomegranate,Rabi,2020,0.0,0.0
Palghar,Pomegranate,Rabi,2021,0.0,0.0
Palghar,Pomegranate,Rabi,2022,0.0,0.0
Palghar,Pomegranate,Rabi,2023,0.0,0.0
Palghar,Mango,Kharif,2020,0.0,0.0
Palghar,Mango,Kharif,2021,0.0,0.0
Palghar,Mango,Kharif,2022,0.0,0.0
Palghar,Mango,Kharif,2023,0.0,0.0
Palghar,Mango,Rabi,2020,0.0,0.0
Palghar,Mango,Rabi,2021,0.0,0.0
Palghar,Mango,Rabi,2022,0.0,0.0
Palghar,Mango,Rabi,2023,0.0,0.0
Parbhani,Pomegranate,Rabi,2020,0.0,0.0
Parbhani,Pomegranate,Rabi,2021,0.0,0.0
Parbhani,Pomegranate,Rabi,2022,0.0,0.0
Parbhani,Pomegranate,Rabi,2023,0.0,0.0
Parbhani,Mango,Kharif,2020,0.0,0.0
Parbhani,Mango,Kharif,2021,0.0,0.0
Parbhani,Mango,Kharif,2022,0.0,0.0
Parbhani,Mango,Kharif,2023,0.0,0.0
Pune,Pomegranate,Kharif,2020,0.0,0.0
Pune,Pomegranate,Kharif,2022,0.0,0.0
Pune,Pomegranate,Rabi,2020,0.0,0.0
Pune,Pomegranate,Rabi,2021,0.0,0.0
Pune,Pomegranate,Rabi,2022,0.0,0.0
Pune,Pomegranate,Rabi,2023,0.0,0.0
Pune,Mango,Kharif,2020,0.0,0.0
Pune,Mango,Kharif,2021,0.0,0.0
Pune,Mango,Kharif,2022,0.0,0.0
Pune,Mango,Kharif,2023,0.0,0.0
Raigarh,Pomegranate,Kharif,2020,0.0,0.0
Raigarh,Pomegranate,Kharif,2022,0.0,0.0
Raigarh,Pomegranate,Rabi,2020,0.0,0.0
Raigarh,Pomegranate,Rabi,2021,0.0,0.0
Raigarh,Pomegranate,Rabi,2022,0.0,0.0
Raigarh,Pomegranate,Rabi,2023,0.0,0.0
Raigarh,Mango,Kharif,2020,0.0,0.0
Raigarh,Mango,Kharif,2021,0.0,0.0
Raigarh,Mango,Kharif,2022,0.0,0.0
Raigarh,Mango,Kharif,2023,0.0,0.0
Raigarh,Mango,Rabi,2020,0.0,0.0
Raigarh,Mango,Rabi,2023,0.0,0.0
Ratnagiri,Pomegranate,Kharif,2020,0.0,0.0
Ratnagiri,Pomegranate,Kharif,2022,0.0,0.0
Ratnagiri,Pomegranate,Rabi,2020,0.0,0.0
Ratnagiri,Pomegranate,Rabi,2021,0.0,0.0
Ratnagiri,Pomegranate,Rabi,2022,0.0,0.0
Ratnagiri,Pomegranate,Rabi,2023,0.0,0.0
Ratnagiri,Mango,Kharif,2020,0.0,0.0
Ratnagiri,Mango,Kharif,2021,0.0,0.0
Ratnagiri,Mango,Kharif,2022,0.0,0.0
Ratnagiri,Mango,Kharif,2023,0.0,0.0
Ratnagiri,Mango,Rabi,2020,47.75,66850.0
Ratnagiri,Mango,Rabi,2021,0.0,0.0
Ratnagiri,Mango,Rabi,2022,0.0,0.0
Ratnagiri,Mango,Rabi,2023,40.0,56000.0
Sangli,Pomegranate,Kharif,2020,0.0,0.0
Sangli,Pomegranate,Kharif,2022,0.0,0.0
Sangli,Pomegranate,Rabi,2020,0.0,0.0
Sangli,Pomegranate,Rabi,2021,0.0,0.0
Sangli,Pomegranate,Rabi,2022,0.0,0.0
Sangli,Pomegranate,Rabi,2023,0.0,0.0
Sangli,Mango,Kharif,2020,0.0,0.0
Sangli,Mango,Kharif,2021,0.0,0.0
Sangli,Mango,Kharif,2022,0.0,0.0
Sangli,Mango,Kharif,2023,0.0,0.0
Satara,Pomegranate,Kharif,2020,0.0,0.0
Satara,Pomegranate,Kharif,2022,0.0,0.0
Satara,Pomegranate,Rabi,2020,0.0,0.0
Satara,Pomegranate,Rabi,2021,0.0,0.0
Satara,Pomegranate,Rabi,2022,0.0,0.0
Satara,Pomegranate,Rabi,2023,0.0,0.0
Satara,Mango,Kharif,2020,0.0,0.0
Satara,Mango,Kharif,2021,0.0,0.0
Satara,Mango,Kharif,2022,0.0,0.0
Satara,Mango,Kharif,2023,0.0,0.0
Sindhudurg,Pomegranate,Kharif,2020,0.0,0.0
Sindhudurg,Pomegranate,Kharif,2022,0.0,0.0
Sindhudurg,Pomegranate,Rabi,2020,0.0,0.0
Sindhudurg,Pomegranate,Rabi,2021,0.0,0.0
Sindhudurg,Pomegranate,Rabi,2022,0.0,0.0
