district,crop,season,year,avg_percent,payout
Pune,Mango,Rabi,2015,20,28000
Pune,Mango,Rabi,2016,37.88,53025
Pune,Mango,Rabi,2017,30,42000
Raigarh,Pomegranate,Kharif,2015,19.6,25480
Raigarh,Pomegranate,Kharif,2016,10,13000
Raigarh,Pomegranate,Kharif,2017,9.18,11927.5
Raigarh,Pomegranate,Rabi,2015,0,0
Raigarh,Pomegranate,Rabi,2016,0,0
Raigarh,Pomegranate,Rabi,2017,0,0
Raigarh,Mango,Kharif,2015,0,0
Raigarh,Mango,Kharif,2016,0,0
Raigarh,Mango,Kharif,2017,0,0
Raigarh,Mango,Rabi,2015,0,0
Raigarh,Mango,Rabi,2016,0,0
Raigarh,Mango,Rabi,2017,0,0
Ratnagiri,Pomegranate,Kharif,2015,9.7,12610
Ratnagiri,Pomegranate,Kharif,2016,10,13000
Ratnagiri,Pomegranate,Kharif,2017,0,0
Ratnagiri,Pomegranate,Rabi,2015,0,0
Ratnagiri,Pomegranate,Rabi,2016,0,0
Ratnagiri,Pomegranate,Rabi,2017,0,0
Ratnagiri,Mango,Kharif,2015,0,0
Ratnagiri,Mango,Kharif,2016,0,0
Ratnagiri,Mango,Kharif,2017,0,0
Ratnagiri,Mango,Rabi,2015,3.57,5005
Ratnagiri,Mango,Rabi,2016,3.35,4690
Ratnagiri,Mango,Rabi,2017,0,0
Sangli,Pomegranate,Kharif,2015,48.05,62465
Sangli,Pomegranate,Kharif,2016,10,13000
Sangli,Pomegranate,Kharif,2017,18.43,23952.5
Sangli,Pomegranate,Rabi,2015,0,0
Sangli,Pomegranate,Rabi,2016,0,0
Sangli,Pomegranate,Rabi,2017,0,0
Sangli,Mango,Kharif,2015,0,0
Sangli,Mango,Kharif,2016,0,0
Sangli,Mango,Kharif,2017,0,0
Sangli,Mango,Rabi,2015,48.65,68110
Sangli,Mango,Rabi,2016,58.75,82250
Sangli,Mango,Rabi,2017,44.45,62230
Satara,Pomegranate,Kharif,2015,18.82,24472.5
Satara,Pomegranate,Kharif,2016,10,13000
Satara,Pomegranate,Kharif,2017,0,0
Satara,Pomegranate,Rabi,2015,0,0
Satara,Pomegranate,Rabi,2016,0,0
Satara,Pomegranate,Rabi,2017,0,0
Satara,Mango,Kharif,2015,0,0
Satara,Mango,Kharif,2016,0,0
Satara,Mango,Kharif,2017,0,0
Satara,Mango,Rabi,2015,10,14000
Satara,Mango,Rabi,2016,18.38,25725
Satara,Mango,Rabi,2017,29.12,40775
Sindhudurg,Pomegranate,Kharif,2015,9.07,11797.5
Sindhudurg,Pomegranate,Kharif,2016,9.7,12610
Sindhudurg,Pomegranate,Kharif,2017,0,0
Sindhudurg,Pomegranate,Rabi,2015,0,0
Sindhudurg,Pomegranate,Rabi,2016,0,0
Sindhudurg,Pomegranate,Rabi,2017,0,0
Sindhudurg,Mango,Kharif,2015,0,0
Sindhudurg,Mango,Kharif,2016,0,0
Sindhudurg,Mango,Kharif,2017,0,0
Sindhudurg,Mango,Rabi,2015,0,0
Sindhudurg,Mango,Rabi,2016,2.35,3290
Sindhudurg,Mango,Rabi,2017,0,0
Solapur,Pomegranate,Kharif,2015,77.75,101075
Solapur,Pomegranate,Kharif,2016,30,39000
Solapur,Pomegranate,Kharif,2017,48.45,62985
Solapur,Pomegranate,Rabi,2015,0,0
Solapur,Pomegranate,Rabi,2016,0,0
Solapur,Pomegranate,Rabi,2017,0,0
Solapur,Mango,Kharif,2015,0,0
Solapur,Mango,Kharif,2016,0,0
Solapur,Mango,Kharif,2017,0,0
Solapur,Mango,Rabi,2015,88.15,123410
Solapur,Mango,Rabi,2016,73.52,102935
Solapur,Mango,Rabi,2017,66.47,93065
Thane,Pomegranate,Kharif,2015,19.25,25025
Thane,Pomegranate,Kharif,2016,10,13000
Thane,Pomegranate,Kharif,2017,9.38,12187.5
Thane,Pomegranate,Rabi,2015,0,0
Thane,Pomegranate,Rabi,2016,0,0
Thane,Pomegranate,Rabi,2017,0,0
Thane,Mango,Kharif,2015,0,0
Thane,Mango,Kharif,2016,0,0
Thane,Mango,Kharif,2017,0,0
Thane,Mango,Rabi,2015,0,0
Thane,Mango,Rabi,2016,4.07,5705
Thane,Mango,Rabi,2017,9.35,13090
Washim,Pomegranate,Kharif,2015,29.73,38642.5
Washim,Pomegranate,Kharif,2016,29.4,38220
Washim,Pomegranate,Kharif,2017,29.75,38675
Washim,Pomegranate,Rabi,2015,0,0
Washim,Pomegranate,Rabi,2016,0,0
Washim,Pomegranate,Rabi,2017,0,0
Washim,Mango,Kharif,2015,0,0
Washim,Mango,Kharif,2016,0,0
Washim,Mango,Kharif,2017,0,0
Washim,Mango,Rabi,2015,89.65,125510
Washim,Mango,Rabi,2016,76,106400
Washim,Mango,Rabi,2017,81.57,114205
